"","Date","Station_ID","COND","DO","DOSAT","FLOW_CFS","FLOW_CMS","PH","TEMPWC","TURB"
"1",2011-01-01 00:00:00,"USGS_03432350",NA,NA,NA,828,23.446349316,NA,NA,NA
"2",2011-01-01 00:00:00,"USGS_03432400",NA,NA,NA,919,26.023182393,NA,NA,NA
"3",2011-01-01 00:00:00,"USGS_03433500",NA,NA,NA,456,12.912482232,NA,NA,NA
"4",2011-01-01 00:00:00,"USGS_03433640",NA,NA,NA,3.83,0.10845352401,NA,NA,NA
"5",2011-01-01 00:00:00,"USGS_03434500",NA,NA,NA,464,13.139017008,NA,NA,NA
"6",2011-01-02 00:00:00,"USGS_03432350",NA,NA,NA,1020,28.88318394,NA,NA,NA
"7",2011-01-02 00:00:00,"USGS_03432400",NA,NA,NA,1330,37.66140651,NA,NA,NA
"8",2011-01-02 00:00:00,"USGS_03433500",NA,NA,NA,2220,62.86340034,NA,NA,NA
"9",2011-01-02 00:00:00,"USGS_03433640",NA,NA,NA,1.44,0.04077625968,NA,NA,NA
"10",2011-01-02 00:00:00,"USGS_03434500",NA,NA,NA,2130,60.31488411,NA,NA,NA
"11",2011-01-03 00:00:00,"USGS_03432350",NA,NA,NA,492,13.931888724,NA,NA,NA
"12",2011-01-03 00:00:00,"USGS_03432400",NA,NA,NA,598,16.933474506,NA,NA,NA
"13",2011-01-03 00:00:00,"USGS_03433500",NA,NA,NA,1010,28.60001547,NA,NA,NA
"14",2011-01-03 00:00:00,"USGS_03433640",NA,NA,NA,1.2,0.0339802164,NA,NA,NA
"15",2011-01-03 00:00:00,"USGS_03434500",NA,NA,NA,1610,45.59012367,NA,NA,NA
"16",2011-01-04 00:00:00,"USGS_03432350",NA,NA,NA,355,10.052480685,NA,NA,NA
"17",2011-01-04 00:00:00,"USGS_03432400",NA,NA,NA,425,12.034659975,NA,NA,NA
"18",2011-01-04 00:00:00,"USGS_03433500",NA,NA,NA,727,20.586347769,NA,NA,NA
"19",2011-01-04 00:00:00,"USGS_03433640",NA,NA,NA,1.13,0.03199803711,NA,NA,NA
"20",2011-01-04 00:00:00,"USGS_03434500",NA,NA,NA,1040,29.44952088,NA,NA,NA
"21",2011-01-05 00:00:00,"USGS_03432350",NA,NA,NA,283,8.013667701,NA,NA,NA
"22",2011-01-05 00:00:00,"USGS_03432400",NA,NA,NA,342,9.684361674,NA,NA,NA
"23",2011-01-05 00:00:00,"USGS_03433500",NA,NA,NA,591,16.735256577,NA,NA,NA
"24",2011-01-05 00:00:00,"USGS_03433640",NA,NA,NA,1.11,0.03143170017,NA,NA,NA
"25",2011-01-05 00:00:00,"USGS_03434500",NA,NA,NA,839,23.757834633,NA,NA,NA
"26",2011-01-06 00:00:00,"USGS_03432350",NA,NA,NA,246,6.965944362,NA,NA,NA
"27",2011-01-06 00:00:00,"USGS_03432400",NA,NA,NA,299,8.466737253,NA,NA,NA
"28",2011-01-06 00:00:00,"USGS_03433500",NA,NA,NA,516,14.611493052,NA,NA,NA
"29",2011-01-06 00:00:00,"USGS_03433640",NA,NA,NA,1.06,0.03001585782,NA,NA,NA
"30",2011-01-06 00:00:00,"USGS_03434500",NA,NA,NA,723,20.473080381,NA,NA,NA
"31",2011-01-07 00:00:00,"USGS_03432350",NA,NA,NA,205,5.804953635,NA,NA,NA
"32",2011-01-07 00:00:00,"USGS_03432400",NA,NA,NA,254,7.192479138,NA,NA,NA
"33",2011-01-07 00:00:00,"USGS_03433500",NA,NA,NA,455,12.884165385,NA,NA,NA
"34",2011-01-07 00:00:00,"USGS_03433640",NA,NA,NA,1.03,0.02916635241,NA,NA,NA
"35",2011-01-07 00:00:00,"USGS_03434500",NA,NA,NA,645,18.264366315,NA,NA,NA
"36",2011-01-08 00:00:00,"USGS_03432350",NA,NA,NA,166,4.700596602,NA,NA,NA
"37",2011-01-08 00:00:00,"USGS_03432400",NA,NA,NA,209,5.918221023,NA,NA,NA
"38",2011-01-08 00:00:00,"USGS_03433500",NA,NA,NA,397,11.241788259,NA,NA,NA
"39",2011-01-08 00:00:00,"USGS_03433640",NA,NA,NA,0.98,0.02775051006,NA,NA,NA
"40",2011-01-08 00:00:00,"USGS_03434500",NA,NA,NA,571,16.168919637,NA,NA,NA
"41",2011-01-09 00:00:00,"USGS_03432350",NA,NA,NA,133,3.766140651,NA,NA,NA
"42",2011-01-09 00:00:00,"USGS_03432400",NA,NA,NA,166,4.700596602,NA,NA,NA
"43",2011-01-09 00:00:00,"USGS_03433500",NA,NA,NA,341,9.656044827,NA,NA,NA
"44",2011-01-09 00:00:00,"USGS_03433640",NA,NA,NA,0.94,0.02661783618,NA,NA,NA
"45",2011-01-09 00:00:00,"USGS_03434500",NA,NA,NA,496,14.045156112,NA,NA,NA
"46",2011-01-10 00:00:00,"USGS_03432350",NA,NA,NA,122,3.454655334,NA,NA,NA
"47",2011-01-10 00:00:00,"USGS_03432400",NA,NA,NA,150,4.24752705,NA,NA,NA
"48",2011-01-10 00:00:00,"USGS_03433500",NA,NA,NA,304,8.608321488,NA,NA,NA
"49",2011-01-10 00:00:00,"USGS_03433640",NA,NA,NA,1.01,0.02860001547,NA,NA,NA
"50",2011-01-10 00:00:00,"USGS_03434500",NA,NA,NA,446,12.629313762,NA,NA,NA
